

<<START>>,<<FMS_SUPPLY_CONT_MST>>,,, 	(12-SEP-2025 10:51:31)
 
COUNTERPARTY_ABBR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
ESL,1,0,39,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,40,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,41,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,42,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,43,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,44,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,45,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,33,1,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,41,1,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,6,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,7,0,S, 	(12-SEP-2025 10:51:34)
